Formats, Percents, Profit after 1000 bets (in $)
BO5-BO3-BO,0%-26%,-3797
BO5-BO,0%-12%,-3800
BO5-BO,56%-100%,-3828
BO5-BO,0%-33%,-3855
BO5-BO,0%-32%,-3862
BO3,0%-18%,-3874
BO5-BO,53%-100%,-3875
BO5-BO3-BO,0%-28%,-3915
BO5-BO,0%-17%,-3924
BO5-BO,54%-100%,-3929
BO5-BO,0%-23%,-3939
BO5-BO3-BO,0%-25%,-3974
BO5-BO,52%-100%,-3975
BO5-BO,55%-100%,-3986
BO5-BO,0%-14%,-4037
BO5-BO3-BO,68%-100%,-4057
BO5-BO,0%-34%,-4060
BO5-BO,51%-100%,-4075
BO3,0%-16%,-4099
BO5-BO3-BO,69%-100%,-4121
BO3,0%-23%,-4149
BO3,0%-19%,-4155
BO5-BO,0%-29%,-4181
BO5-BO3-BO,0%-27%,-4303
BO3,0%-15%,-4337
BO5-BO,0%-18%,-4374
BO5-BO3-BO,66%-100%,-4426
BO5-BO3-BO,0%-24%,-4436
BO3,0%-31%,-4441
BO5-BO3-BO,67%-100%,-4467
BO5-BO3-BO,64%-100%,-4519
BO5-BO,0%-30%,-4587
BO5-BO,0%-16%,-4599
BO3,0%-33%,-4627
BO3,0%-32%,-4634
BO5-BO,0%-19%,-4655
BO5-BO,0%-28%,-4691
BO3,0%-34%,-4732
BO5-BO,0%-15%,-4737
BO5-BO3-BO,62%-100%,-4792
BO5-BO,0%-27%,-4799
BO3,0%-20%,-4855
BO5-BO3-BO,63%-100%,-4919
BO5-BO,0%-24%,-4920
BO5-BO3-BO,65%-100%,-4930
BO5-BO,0%-20%,-4968
BO5-BO,0%-26%,-5029
BO3,0%-24%,-5130
BO3,0%-29%,-5153
BO5-BO,0%-25%,-5242
BO5-BO3-BO,61%-100%,-5413
BO3,0%-30%,-5459
BO5-BO3-BO,60%-100%,-5715
BO3,0%-25%,-5749
BO3,0%-28%,-5763
BO3,0%-27%,-5871
BO5-BO3-BO,59%-100%,-5903
BO5-BO3-BO,54%-100%,-6099
BO3,0%-26%,-6101
BO5-BO3-BO,56%-100%,-6221
BO5-BO3-BO,57%-100%,-6323
BO5-BO3-BO,55%-100%,-6377
BO5-BO3-BO,58%-100%,-6444
BO5-BO3-BO,53%-100%,-6657
BO5-BO3-BO,50%-100%,-6680
BO5-BO3-BO,52%-100%,-6867
BO5-BO3-BO,51%-100%,-7178
